experiment_id,clip_name,freeze_backbone,learning_rate,weight_decay,batch_size,dropout,hidden_size,scheduler_type,epochs,best_epoch,train_loss,train_macro_f1,train_bal_acc,train_recall,val_loss,val_macro_f1,val_bal_acc,val_recall
1,ViT-B/32,TRUE,0.001,0.0001,8,0.1,128,none,10,10,0.337059535,0.872786867,0.872995019,0.872995019,0.908838669,0.708867569,0.711111111,0.711111111
2,ViT-B/32,TRUE,0.001,0.0001,8,0.1,128,onecycle,10,10,0.260066663,0.901763011,0.901737306,0.901737306,0.854830722,0.71561431,0.716959064,0.716959064
3,ViT-B/32,TRUE,0.001,0.0001,8,0.1,128,cosine,10,10,0.248791406,0.9054518,0.905605254,0.905605254,0.946230096,0.709042412,0.711111111,0.711111111
4,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,128,none,10,10,0.350224337,0.867310948,0.867442578,0.867442578,0.928224392,0.707238382,0.70877193,0.70877193
5,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,128,onecycle,10,10,0.252768793,0.905114328,0.905274642,0.905274642,0.916902778,0.676514733,0.688888889,0.688888889
6,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,128,cosine,10,10,0.246106918,0.907029795,0.906961966,0.906961966,0.98010448,0.703282592,0.70994152,0.70994152
7,ViT-B/32,TRUE,0.001,0.0001,8,0.1,256,none,10,10,0.321692048,0.880076667,0.880060912,0.880060912,0.940619611,0.708303422,0.714619883,0.714619883
8,ViT-B/32,TRUE,0.001,0.0001,8,0.1,256,onecycle,10,10,0.221299286,0.913477238,0.913346105,0.913346105,0.954176708,0.703908026,0.70994152,0.70994152
9,ViT-B/32,TRUE,0.001,0.0001,8,0.1,256,cosine,10,10,0.215077802,0.91904351,0.918922049,0.918922049,1.032446083,0.703527878,0.707602339,0.707602339
10,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,256,none,10,10,0.329227755,0.875713077,0.875859662,0.875859662,0.949455095,0.69642077,0.704093567,0.704093567
11,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,256,onecycle,10,10,0.223430649,0.917575863,0.917551319,0.917551319,0.942592052,0.705651589,0.706432749,0.706432749
12,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,256,cosine,10,10,0.216639254,0.920013279,0.920078412,0.920078412,1.021031434,0.695658987,0.701754386,0.701754386
13,ViT-B/32,TRUE,0.001,0.0001,8,0.1,512,none,10,10,0.322501636,0.881795731,0.882056194,0.882056194,0.994569286,0.697818066,0.706432749,0.706432749
14,ViT-B/32,TRUE,0.001,0.0001,8,0.1,512,onecycle,10,10,0.202234263,0.927346226,0.927310956,0.927310956,0.976669658,0.718568872,0.722807018,0.722807018
15,ViT-B/32,TRUE,0.001,0.0001,8,0.1,512,cosine,10,10,0.18966397,0.931163698,0.931188108,0.931188108,1.134640019,0.6872211,0.693567251,0.693567251
16,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,512,none,10,10,0.326207843,0.878655912,0.878861789,0.878861789,0.996375557,0.677424183,0.680701754,0.680701754
17,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,512,onecycle,10,10,0.190052414,0.932887929,0.932867078,0.932867078,1.011151198,0.700574641,0.705263158,0.705263158
18,ViT-B/32,TRUE,0.001,5.00E-05,8,0.1,512,cosine,10,10,0.187792801,0.929760237,0.929842156,0.929842156,1.05937335,0.70763509,0.712280702,0.712280702
19,ViT-B/32,TRUE,0.001,0.0001,8,0.3,128,none,10,10,0.447799209,0.835521186,0.83612166,0.83612166,0.81043289,0.706158742,0.706432749,0.706432749
